Bath,Bed,Price,Property,Sqft
1,1,"$995,000",Co-op,
1,1,"$785,000",Condos,730
4,3,"$7,350,000",Condos,"2,579"
2,1,"$1,780,000",Condos,915
4.5,5,"$13,178,000",Condos,"3,699"
3.5,3,"$6,760,000",Condos,"2,249"
1,0,"$399,000",Co-op,525
1,1,"$880,000",Condos,850
,0,"$5,750,000",Townhomes,
1,1,"$1,195,000",Condos,
1,0,"$499,000",Condos,560
,0,"$18,250,000",Townhomes,
,0,"$24,750,000",Townhomes,
2,2,"$1,549,000",Co-op,"1,450"
,0,"$2,200,000",Townhomes,
1,1,"$550,000",Co-op,700
,0,"$4,100,000",Townhomes,
,0,"$19,500,000",Townhomes,
,0,"$10,950,000",Townhomes,
,0,"$11,750,000",Townhomes,
,0,"$5,500,000",Townhomes,
,0,"$8,250,000",Townhomes,
,0,"$6,250,000",Townhomes,
,0,"$8,100,000",Townhomes,
,0,"$10,600,000",Townhomes,
1,1,"$599,999",Co-op,
1,1,"$450,000",Co-op,
1,0,"$689,995",Condos,
1,0,"$565,000",Co-op,
1,0,"$450,000",Co-op,
3,3,"$1,895,000",Co-op,
1,0,"$300,000",Co-op,
1,1,"$539,000",Co-op,
1,1,"$949,000",Co-op,600
1,1,"$495,000",Condos,632
1,1,"$710,000",Co-op,
1,1,"$810,000",Co-op,
2.5,2,"$2,350,000",Co-op,
3,3,"$2,299,000",Co-op,
1,1,"$799,000",Co-op,
2,2,"$1,350,000",Condos,"1,150"
1.5,2,"$1,500,000",Co-op,
1,2,"$1,250,000",Co-op,
4.5,4,"$6,795,000",Condos,
2,3,"$2,625,000",Condos,"1,660"
1,1,"$795,000",Condos,587
2.5,3,"$6,600,000",Co-op,
2,1,"$990,000",Condos,800
